Ownership_Group,Team_Name,General_Manager,Division,City,State,Home_Stadium,Stadium_Capacity
"RDV Sports, Inc.",Atlanta Hawks,Landry Fields,Southeast,Atlanta,GA,State Farm Arena,"16,600"
Boston Basketball Partners,Boston Celtics,Brad Stevens,Atlantic,Boston,MA,TD Garden,"19,156"
Joseph Tsai,Brooklyn Nets,Sean Marks,Atlantic,New York City,NY,Barclays Center,"17,732"
Michael Jordan,Charlotte Hornets,Mitch Kupchak,Southeast,Charlotte,NC,Spectrum Center,"19,077"
Jerry Reinsdorf,Chicago Bulls,Marc Eversley,Central,Chicago,IL,United Center,"20,917"
Dan Gilbert,Cleveland Cavaliers,Mike Gansey,Central,Cleveland,OH,Rocket Mortgage FieldHouse,"19,432"
Mark Cuban,Dallas Mavericks,Nico Harrison,Southwest,Dallas,TX,American Airlines Center,"19,200"
Kroenke Sports & Entertainment,Denver Nuggets,Calvin Booth,Northwest,Denver,CO,Ball Arena,"19,520"
Tom Gores,Detroit Pistons,Troy Weaver,Central,Detroit,MI,Little Caesars Arena,"20,332"
Joe Lacob,Golden State Warriors,Bob Myers,Pacific,San Francisco,CA,Chase Center,"18,064"
Tilman Fertitta,Houston Rockets,Rafael Stone,Southwest,Houston,TX,Toyota Center,"18,055"
Herbert Simon,Indiana Pacers,Chad Buchanan,Central,Indianapolis,IN,Gainbridge Fieldhouse,"17,923"
Steve Ballmer,Los Angeles Clippers,Michael Winger,Pacific,Los Angeles,CA,Crypto.com Arena,"19,079"
Jeanie Buss,Los Angeles Lakers,Rob Pelinka,Pacific,Los Angeles,CA,Crypto.com Arena,"19,079"
"Memphis Basketball, LLC ",Memphis Grizzlies,Zachary Kleiman,Southwest,Memphis,TN,FedExForum,"18,119"
Micky Arison,Miami Heat,Andy Elisburg,Southeast,Miami,FL,FTX Arena,"19,600"
Wes Edens,Milwaukee Bucks,Jon Horst,Central,Milwaukee,WI,Fiserv Forum,"17,341"
Glen Taylor,Minnesota Timberwolves,Tim Connelly,Northwest,Minneapolis,MN,Target Center,"18,798"
Gayle Benson,New Orleans Pelicans,Trajan Langdon,Southwest,New Orleans,LA,Smoothie King Center,"16,867"
Madison Square Garden Sports,New York Knicks,Scott Perry,Atlantic,New York City,NY,Madison Square Garden,"19,812"
Professional Basketball Club LLC,Oklahoma City Thunder,Sam Presti,Northwest,Oklahoma City,OK,Paycom Center,"18,203"
"RDV Sports, Inc.",Orlando Magic,John Hammond,Southeast,Orlando,FL,Amway Center,"18,846"
Josh Harris,Philadelphia 76ers,Elton Brand,Atlantic,Philadelphia,PA,Wells Fargo Center,"20,478"
Robert Sarver,Phoenix Suns,James Jones,Pacific,Phoenix,AZ,Footprint Center,"16,645"
Paul G. Allen Trust,Portland Trail Blazers,Joe Cronin,Northwest,Portland,OR,Moda Center,"19,393"
Vivek Ranadivé,Sacramento Kings,Monte McNair,Pacific,Sacramento,CA,Golden 1 Center,"17,608"
Spurs Sports & Entertainment,San Antonio Spurs,Brian Wright,Southwest,San Antonio,TX,AT&T Center,"18,418"
Maple Leaf Sports & Entertainment,Toronto Raptors,Bobby Webster,Atlantic,Toronto,CAN,Scotiabank Arena,"19,800"
Ryan Smith,Utah Jazz,"	Justin Zanik",Northwest,Salt Lake City,UT,Vivint Arena,"18,306"
Monumental Sports & Entertainment,Washington Wizards,Tommy Sheppard,Southeast,Washington D.C.,DC,Capital One Arena,"20,356"