Team_Name,City,Division,Head_Coach,Year_Founded,Number_Of_Championships,Home_Stadium
Atlanta Hawks,Atlanta,Southeast,Nate McMillan,1949,1,State Farm Arena
Boston Celtics,Boston,Atlantic,Joe Mazzulla,1946,17,TD Garden
Brooklyn Nets,New York City,Atlantic,Jacque Vaughn,1976,0,Barclays Center
Charlotte Hornets,Charlotte,Southeast,Steve Clifford,1988,0,Spectrum Center
Chicago Bulls,Chicago,Central,Billy Donovan,1966,6,United Center
Cleveland Cavaliers,Cleveland,Central,J. B. Bickerstaff,1970,1,Rocket Mortgage FieldHouse
Dallas Mavericks,Dallas,Southwest,Jason Kidd,1980,1,American Airlines Center
Denver Nuggets,Denver,Northwest,Michael Malone,1976,0,Ball Arena
Detroit Pistons,Detroit,Central,Dwane Casey,1948,3,Little Caesars Arena
Golden State Warriors,San Francisco,Pacific,Steve Kerr,1946,7,Chase Center
Houston Rockets,Houston,Southwest,Stephen Silas,1967,2,Toyota Center
Indiana Pacers,Indianapolis,Central,Rick Carlisle,1976,0,Gainbridge Fieldhouse
Los Angeles Clippers,Los Angeles,Pacific,Tyronn Lue,1970,0,Crypto.com Arena
Los Angeles Lakers,Los Angeles,Pacific,Darvin Ham,1948,17,Crypto.com Arena
Memphis Grizzlies,Memphis,Southwest,Taylor Jenkins,1995,0,FedExForum
Miami Heat,Miami,Southeast,Erik Spoelstra,1988,3,FTX Arena
Milwaukee Bucks,Milwaukee,Central,Mike Budenholzer,1968,2,Fiserv Forum
Minnesota Timberwolves,Minneapolis,Northwest,Chris Finch,1989,0,Target Center
New Orleans Pelicans,New Orleans,Southwest,Willie Green,2002,0,Smoothie King Center
New York Knicks,New York City,Atlantic,Tom Thibodeau,1946,2,Madison Square Garden
Oklahoma City Thunder,Oklahoma City,Northwest,Mark Daigneault,1967,1,Paycom Center
Orlando Magic,Orlando,Southeast,Mark Daigneault,1989,0,Amway Center
Philadelphia 76ers,Philadelphia,Atlantic,Doc Rivers,1949,3,Wells Fargo Center
Phoenix Suns,Phoenix,Pacific,Monty Williams,1968,0,Footprint Center
Portland Trail Blazers,Portland,Northwest,Chauncey Billups,1970,1,Moda Center
Sacramento Kings,Sacramento,Pacific,Mike Brown,1948,1,Golden 1 Center
San Antonio Spurs,San Antonio,Southwest,Gregg Popovich,1976,5,AT&T Center
Toronto Raptors,Toronto,Atlantic,Nick Nurse,1995,1,Scotiabank Arena
Utah Jazz,Salt Lake City,Northwest,Will Hardy,1974,0,Vivint Arena
Washington Wizards,Washington D.C.,Southeast,Wes Unseld Jr.,1961,1,Capital One Arena